GenomeID	Set
Archaea-SGB4	RGAG_Set1
Archaea-SGB8	RGAG_Set1
Archaea-SGB19	RGAG_Set1
Archaea-SGB21	RGAG_Set1
Archaea-SGB23	RGAG_Set1
Archaea-SGB30	RGAG_Set1
Archaea-SGB31	RGAG_Set1
Archaea-SGB34	RGAG_Set1
Archaea-SGB38	RGAG_Set1
Archaea-SGB40	RGAG_Set1
Archaea-SGB56	RGAG_Set1
Archaea-SGB59	RGAG_Set1
Archaea-SGB75	RGAG_Set1
Archaea-SGB80	RGAG_Set1
Archaea-SGB87	RGAG_Set1
Archaea-SGB93	RGAG_Set1
Archaea-SGB96	RGAG_Set1
Archaea-SGB100	RGAG_Set1
Archaea-SGB105	RGAG_Set1
Archaea-SGB108	RGAG_Set1
Archaea-SGB110	RGAG_Set1
Archaea-SGB113	RGAG_Set1
Archaea-SGB117	RGAG_Set1
Archaea-SGB121	RGAG_Set1
Archaea-SGB127	RGAG_Set1
Archaea-SGB136	RGAG_Set1
Archaea-SGB152	RGAG_Set1
Archaea-SGB154	RGAG_Set1
Archaea-SGB156	RGAG_Set1
Archaea-SGB173	RGAG_Set1
Archaea-SGB174	RGAG_Set1
Archaea-SGB179	RGAG_Set1
Archaea-SGB180	RGAG_Set1
Archaea-SGB190	RGAG_Set1
Archaea-SGB195	RGAG_Set1
Archaea-SGB196	RGAG_Set1
Archaea-SGB198	RGAG_Set1
Archaea-SGB204	RGAG_Set1
Archaea-SGB211	RGAG_Set1
Archaea-SGB213	RGAG_Set1
Archaea-SGB215	RGAG_Set1
Archaea-SGB220	RGAG_Set1
Archaea-SGB223	RGAG_Set1
Archaea-SGB229	RGAG_Set1
Archaea-SGB234	RGAG_Set1
Archaea-SGB239	RGAG_Set2
Archaea-SGB242	RGAG_Set2
Archaea-SGB245	RGAG_Set2
Archaea-SGB248	RGAG_Set2
Archaea-SGB251	RGAG_Set2
Archaea-SGB252	RGAG_Set2
Archaea-SGB255	RGAG_Set2
Archaea-SGB267	RGAG_Set2
Archaea-SGB280	RGAG_Set2
Archaea-SGB281	RGAG_Set2
Archaea-SGB283	RGAG_Set2
Archaea-SGB285	RGAG_Set2
Archaea-SGB301	RGAG_Set2
Archaea-SGB306	RGAG_Set2
Archaea-SGB320	RGAG_Set2
Archaea-SGB323	RGAG_Set2
Archaea-SGB330	RGAG_Set2
Archaea-SGB338	RGAG_Set2
Archaea-SGB342	RGAG_Set2
Archaea-SGB356	RGAG_Set2
Archaea-SGB360	RGAG_Set2
Archaea-SGB365	RGAG_Set2
Archaea-SGB367	RGAG_Set2
Archaea-SGB368	RGAG_Set2
Archaea-SGB369	RGAG_Set2
Archaea-SGB370	RGAG_Set2
Archaea-SGB371	RGAG_Set2
Archaea-SGB372	RGAG_Set2
Archaea-SGB373	RGAG_Set2
Archaea-SGB374	RGAG_Set2
Archaea-SGB375	RGAG_Set2
Archaea-SGB376	RGAG_Set2
Archaea-SGB377	RGAG_Set2
Archaea-SGB378	RGAG_Set2
Archaea-SGB379	RGAG_Set2
Archaea-SGB380	RGAG_Set2
Archaea-SGB381	RGAG_Set2
Archaea-SGB382	RGAG_Set2
Archaea-SGB384	RGAG_Set2
Archaea-SGB385	RGAG_Set2
Archaea-SGB386	RGAG_Set2
Archaea-SGB387	RGAG_Set2
Archaea-SGB388	RGAG_Set2
Archaea-SGB389	RGAG_Set2
Archaea-SGB390	RGAG_Set2
Archaea-SGB391	RGAG_Set3
Archaea-SGB392	RGAG_Set3
Archaea-SGB393	RGAG_Set3
Archaea-SGB394	RGAG_Set3
Archaea-SGB395	RGAG_Set3
Archaea-SGB396	RGAG_Set3
Archaea-SGB397	RGAG_Set3
Archaea-SGB398	RGAG_Set3
Archaea-SGB399	RGAG_Set3
Archaea-SGB400	RGAG_Set3
Archaea-SGB401	RGAG_Set3
Archaea-SGB402	RGAG_Set3
Archaea-SGB403	RGAG_Set3
Archaea-SGB404	RGAG_Set3
Archaea-SGB405	RGAG_Set3
Archaea-SGB406	RGAG_Set3
Archaea-SGB407	RGAG_Set3
Archaea-SGB408	RGAG_Set3
Archaea-SGB409	RGAG_Set3
Archaea-SGB410	RGAG_Set3
Archaea-SGB411	RGAG_Set3
Archaea-SGB412	RGAG_Set3
Archaea-SGB413	RGAG_Set3
Archaea-SGB414	RGAG_Set3
Archaea-SGB415	RGAG_Set3
Archaea-SGB416	RGAG_Set3
Archaea-SGB417	RGAG_Set3
Archaea-SGB418	RGAG_Set3
Archaea-SGB419	RGAG_Set3
Archaea-SGB420	RGAG_Set3
Archaea-SGB421	RGAG_Set3
Archaea-SGB422	RGAG_Set3
Archaea-SGB423	RGAG_Set3
Archaea-SGB424	RGAG_Set3
Archaea-SGB425	RGAG_Set3
Archaea-SGB426	RGAG_Set3
Archaea-SGB427	RGAG_Set3
Archaea-SGB428	RGAG_Set3
Archaea-SGB429	RGAG_Set3
Archaea-SGB430	RGAG_Set3
Archaea-SGB431	RGAG_Set3
Archaea-SGB432	RGAG_Set3
Archaea-SGB433	RGAG_Set3
Archaea-SGB434	RGAG_Set3
Archaea-SGB435	RGAG_Set3
Archaea-SGB436	RGAG_Set4
Archaea-SGB437	RGAG_Set4
Archaea-SGB438	RGAG_Set4
Archaea-SGB439	RGAG_Set4
Archaea-SGB440	RGAG_Set4
Archaea-SGB441	RGAG_Set4
Archaea-SGB442	RGAG_Set4
Archaea-SGB443	RGAG_Set4
Archaea-SGB444	RGAG_Set4
Archaea-SGB445	RGAG_Set4
Archaea-SGB446	RGAG_Set4
Archaea-SGB447	RGAG_Set4
Archaea-SGB448	RGAG_Set4
Archaea-SGB449	RGAG_Set4
Archaea-SGB450	RGAG_Set4
Archaea-SGB451	RGAG_Set4
Archaea-SGB453	RGAG_Set4
Archaea-SGB454	RGAG_Set4
Archaea-SGB455	RGAG_Set4
Archaea-SGB456	RGAG_Set4
Archaea-SGB457	RGAG_Set4
Archaea-SGB458	RGAG_Set4
Archaea-SGB459	RGAG_Set4
Archaea-SGB460	RGAG_Set4
Archaea-SGB461	RGAG_Set4
Archaea-SGB462	RGAG_Set4
Archaea-SGB463	RGAG_Set4
Archaea-SGB464	RGAG_Set4
Archaea-SGB465	RGAG_Set4
Archaea-SGB466	RGAG_Set4
Archaea-SGB467	RGAG_Set4
Archaea-SGB468	RGAG_Set4
Archaea-SGB469	RGAG_Set4
Archaea-SGB470	RGAG_Set4
Archaea-SGB471	RGAG_Set4
Archaea-SGB472	RGAG_Set4
Archaea-SGB473	RGAG_Set4
Archaea-SGB474	RGAG_Set4
Archaea-SGB475	RGAG_Set4
Archaea-SGB476	RGAG_Set4
Archaea-SGB477	RGAG_Set4
Archaea-SGB478	RGAG_Set4
Archaea-SGB479	RGAG_Set4
Archaea-SGB480	RGAG_Set4
Archaea-SGB481	RGAG_Set4
Archaea-SGB482	RGAG_Set5
Archaea-SGB483	RGAG_Set5
Archaea-SGB484	RGAG_Set5
Archaea-SGB485	RGAG_Set5
Archaea-SGB486	RGAG_Set5
Archaea-SGB487	RGAG_Set5
Archaea-SGB488	RGAG_Set5
Archaea-SGB489	RGAG_Set5
Archaea-SGB490	RGAG_Set5
Archaea-SGB491	RGAG_Set5
Archaea-SGB492	RGAG_Set5
Archaea-SGB493	RGAG_Set5
Archaea-SGB494	RGAG_Set5
Archaea-SGB495	RGAG_Set5
Archaea-SGB496	RGAG_Set5
Archaea-SGB497	RGAG_Set5
Archaea-SGB498	RGAG_Set5
Archaea-SGB499	RGAG_Set5
Archaea-SGB500	RGAG_Set5
Archaea-SGB501	RGAG_Set5
Archaea-SGB502	RGAG_Set5
Archaea-SGB503	RGAG_Set5
Archaea-SGB504	RGAG_Set5
Archaea-SGB505	RGAG_Set5
Archaea-SGB506	RGAG_Set5
Archaea-SGB507	RGAG_Set5
Archaea-SGB508	RGAG_Set5
Archaea-SGB509	RGAG_Set5
Archaea-SGB510	RGAG_Set5
Archaea-SGB511	RGAG_Set5
Archaea-SGB512	RGAG_Set5
Archaea-SGB513	RGAG_Set5
Archaea-SGB514	RGAG_Set5
Archaea-SGB515	RGAG_Set5
Archaea-SGB516	RGAG_Set5
Archaea-SGB517	RGAG_Set5
Archaea-SGB518	RGAG_Set5
Archaea-SGB519	RGAG_Set5
Archaea-SGB520	RGAG_Set5
Archaea-SGB521	RGAG_Set5
Archaea-SGB522	RGAG_Set5
Archaea-SGB523	RGAG_Set5
Archaea-SGB524	RGAG_Set5
Archaea-SGB525	RGAG_Set5
Archaea-SGB526	RGAG_Set5
Archaea-SGB527	RGAG_Set6
Archaea-SGB528	RGAG_Set6
Archaea-SGB529	RGAG_Set6
Archaea-SGB530	RGAG_Set6
Archaea-SGB531	RGAG_Set6
Archaea-SGB532	RGAG_Set6
Archaea-SGB533	RGAG_Set6
Archaea-SGB534	RGAG_Set6
Archaea-SGB535	RGAG_Set6
Archaea-SGB536	RGAG_Set6
Archaea-SGB537	RGAG_Set6
Archaea-SGB538	RGAG_Set6
Archaea-SGB539	RGAG_Set6
Archaea-SGB540	RGAG_Set6
Archaea-SGB541	RGAG_Set6
Archaea-SGB542	RGAG_Set6
Archaea-SGB543	RGAG_Set6
Archaea-SGB544	RGAG_Set6
Archaea-SGB545	RGAG_Set6
Archaea-SGB546	RGAG_Set6
Archaea-SGB547	RGAG_Set6
Archaea-SGB555	RGAG_Set6
Archaea-SGB556	RGAG_Set6
Archaea-SGB557	RGAG_Set6
Archaea-SGB558	RGAG_Set6
Archaea-SGB559	RGAG_Set6
Archaea-SGB560	RGAG_Set6
Archaea-SGB562	RGAG_Set6
Archaea-SGB564	RGAG_Set6
Archaea-SGB565	RGAG_Set6
Archaea-SGB568	RGAG_Set6
Archaea-SGB569	RGAG_Set6
Archaea-SGB570	RGAG_Set6
Archaea-SGB571	RGAG_Set6
Archaea-SGB574	RGAG_Set6
Archaea-SGB576	RGAG_Set6
Archaea-SGB577	RGAG_Set6
Archaea-SGB579	RGAG_Set6
Archaea-SGB580	RGAG_Set6
Archaea-SGB581	RGAG_Set6
Archaea-SGB582	RGAG_Set6
Archaea-SGB584	RGAG_Set6
Archaea-SGB586	RGAG_Set6
Archaea-SGB587	RGAG_Set6
Archaea-SGB589	RGAG_Set6
Archaea-SGB591	RGAG_Set7
Archaea-SGB593	RGAG_Set7
Archaea-SGB594	RGAG_Set7
Archaea-SGB595	RGAG_Set7
Archaea-SGB596	RGAG_Set7
Archaea-SGB597	RGAG_Set7
Archaea-SGB598	RGAG_Set7
Archaea-SGB599	RGAG_Set7
Archaea-SGB600	RGAG_Set7
Archaea-SGB601	RGAG_Set7
Archaea-SGB602	RGAG_Set7
Archaea-SGB603	RGAG_Set7
Archaea-SGB604	RGAG_Set7
Archaea-SGB605	RGAG_Set7
Archaea-SGB607	RGAG_Set7
Archaea-SGB608	RGAG_Set7
Archaea-SGB610	RGAG_Set7
Archaea-SGB611	RGAG_Set7
Archaea-SGB612	RGAG_Set7
Archaea-SGB613	RGAG_Set7
Archaea-SGB614	RGAG_Set7
Archaea-SGB615	RGAG_Set7
Archaea-SGB616	RGAG_Set7
Archaea-SGB617	RGAG_Set7
Archaea-SGB618	RGAG_Set7
Archaea-SGB619	RGAG_Set7
Archaea-SGB620	RGAG_Set7
Archaea-SGB621	RGAG_Set7
Archaea-SGB623	RGAG_Set7
Archaea-SGB624	RGAG_Set7
Archaea-SGB625	RGAG_Set7
Archaea-SGB626	RGAG_Set7
Archaea-SGB627	RGAG_Set7
Archaea-SGB628	RGAG_Set7
Archaea-SGB629	RGAG_Set7
Archaea-SGB630	RGAG_Set7
Archaea-SGB631	RGAG_Set7
Archaea-SGB632	RGAG_Set7
Archaea-SGB634	RGAG_Set7
Archaea-SGB635	RGAG_Set7
Archaea-SGB636	RGAG_Set7
Archaea-SGB637	RGAG_Set7
Archaea-SGB638	RGAG_Set7
Archaea-SGB639	RGAG_Set7
Archaea-SGB640	RGAG_Set7
Archaea-SGB641	RGAG_Set8
Archaea-SGB642	RGAG_Set8
Archaea-SGB643	RGAG_Set8
Archaea-SGB646	RGAG_Set8
Archaea-SGB648	RGAG_Set8
Archaea-SGB649	RGAG_Set8
Archaea-SGB650	RGAG_Set8
Archaea-SGB651	RGAG_Set8
Archaea-SGB652	RGAG_Set8
Archaea-SGB653	RGAG_Set8
Archaea-SGB654	RGAG_Set8
Archaea-SGB655	RGAG_Set8
Archaea-SGB660	RGAG_Set8
Archaea-SGB664	RGAG_Set8
Archaea-SGB665	RGAG_Set8
Archaea-SGB666	RGAG_Set8
Archaea-SGB667	RGAG_Set8
Archaea-SGB668	RGAG_Set8
Archaea-SGB669	RGAG_Set8
Archaea-SGB672	RGAG_Set8
Archaea-SGB688	RGAG_Set8
Archaea-SGB689	RGAG_Set8
Archaea-SGB690	RGAG_Set8
Archaea-SGB691	RGAG_Set8
Archaea-SGB692	RGAG_Set8
Archaea-SGB693	RGAG_Set8
Archaea-SGB694	RGAG_Set8
Archaea-SGB695	RGAG_Set8
Archaea-SGB697	RGAG_Set8
Archaea-SGB702	RGAG_Set8
Archaea-SGB703	RGAG_Set8
Archaea-SGB705	RGAG_Set8
Archaea-SGB707	RGAG_Set8
Archaea-SGB708	RGAG_Set8
Archaea-SGB710	RGAG_Set8
Archaea-SGB711	RGAG_Set8
Archaea-SGB712	RGAG_Set8
Archaea-SGB714	RGAG_Set8
Archaea-SGB715	RGAG_Set8
Archaea-SGB721	RGAG_Set8
Archaea-SGB722	RGAG_Set8
Archaea-SGB723	RGAG_Set8
Archaea-SGB724	RGAG_Set8
Archaea-SGB725	RGAG_Set8
Archaea-SGB728	RGAG_Set8
Archaea-SGB729	RGAG_Set9
Archaea-SGB730	RGAG_Set9
Archaea-SGB731	RGAG_Set9
Archaea-SGB732	RGAG_Set9
Archaea-SGB733	RGAG_Set9
Archaea-SGB734	RGAG_Set9
Archaea-SGB736	RGAG_Set9
Archaea-SGB740	RGAG_Set9
Archaea-SGB741	RGAG_Set9
Archaea-SGB742	RGAG_Set9
Archaea-SGB746	RGAG_Set9
Archaea-SGB747	RGAG_Set9
Archaea-SGB750	RGAG_Set9
Archaea-SGB753	RGAG_Set9
Archaea-SGB755	RGAG_Set9
Archaea-SGB758	RGAG_Set9
Archaea-SGB760	RGAG_Set9
Archaea-SGB762	RGAG_Set9
Archaea-SGB763	RGAG_Set9
Archaea-SGB765	RGAG_Set9
Archaea-SGB768	RGAG_Set9
Archaea-SGB769	RGAG_Set9
Archaea-SGB770	RGAG_Set9
Archaea-SGB773	RGAG_Set9
Archaea-SGB775	RGAG_Set9
Archaea-SGB777	RGAG_Set9
Archaea-SGB778	RGAG_Set9
Archaea-SGB780	RGAG_Set9
Archaea-SGB782	RGAG_Set9
Archaea-SGB783	RGAG_Set9
Archaea-SGB785	RGAG_Set9
Archaea-SGB786	RGAG_Set9
Archaea-SGB788	RGAG_Set9
Archaea-SGB790	RGAG_Set9
Archaea-SGB793	RGAG_Set9
Archaea-SGB795	RGAG_Set9
Archaea-SGB797	RGAG_Set9
Archaea-SGB798	RGAG_Set9
Archaea-SGB802	RGAG_Set9
Archaea-SGB804	RGAG_Set9
Archaea-SGB806	RGAG_Set9
Archaea-SGB814	RGAG_Set9
Archaea-SGB815	RGAG_Set9
Archaea-SGB818	RGAG_Set9
Archaea-SGB819	RGAG_Set9
